site_id,lat,lon,tier
J110,37.421800727611036,-122.09097568530012,5
J111,37.42301692411809,-122.09064715439717,5
J112,37.42232258902325,-122.08979557675575,5
J113,37.41940021610836,-122.08609825225422,5
J114,37.41967609857111,-122.08565737048201,5
J115,37.42040730868584,-122.08565819541015,5
J116,37.420696566918565,-122.0860427976573,5
J117,37.41999433147127,-122.08647317752558,5
J118,37.41742912934734,-122.08566716524433,5
J119,37.416929868413376,-122.08601705603492,5
J120,37.4183543316475,-122.08566858970411,5
J121,37.41822464864923,-122.08636138984224,5
J122,37.42053048664033,-122.083527401067,5
J123,37.42059154697613,-122.08473022656536,5
J124,37.41947665763995,-122.08436544370613,5
J125,37.41731907555037,-122.08346143804056,5
J126,37.4174044694872,-122.08482806240991,5
J127,37.41813019838807,-122.08204161489006,5
J128,37.41976790466485,-122.08262380231652,5
J129,37.41951363903495,-122.0817935280811,5
J130,37.41715799231666,-122.08079499675708,5
J131,37.41761761644758,-122.08148789199836,5
J132,37.41689235485508,-122.08171477973382,5
J133,37.41725671033649,-122.08263226606212,5
J134,37.41907312573469,-122.08007950999817,5
J135,37.418907059695776,-122.07941506260217,5
J136,37.41983441037838,-122.07840212621522,5
J137,37.4200846738847,-122.07926305452035,5
J138,37.419088463320826,-122.07891396193605,5
J139,37.41825040642201,-122.07885678769495,5
J140,37.418686901055935,-122.07900235275007,5
J141,37.416957798096384,-122.07903625648198,5
J142,37.417236108914246,-122.0787790064277,5
J143,37.41740270020639,-122.08017691440224,5
J144,37.417602019784646,-122.07887543803257,5
J145,37.416672569268826,-122.07831173242019,5
J146,37.41671335227856,-122.07917183191829,5
J147,37.42456676839835,-122.0927418661334,5
J148,37.42297999089855,-122.09208935515888,5
J149,37.42310560116223,-122.09327015196573,5
J150,37.42404035987444,-122.09109807051031,5
J151,37.424608280575725,-122.09383504082535,5
J152,37.425705776280694,-122.09631382088253,5
J153,37.42727993596405,-122.09696355479554,5
J154,37.42724443036559,-122.09587417444773,5
J155,37.4248700681909,-122.0952860989879,5
J156,37.42440376191677,-122.09587546508291,5
J157,37.42638667474659,-122.095240544702,5
J158,37.42545028816522,-122.09447840171198,5
J159,37.4235277422675,-122.09447544695459,5
J160,37.414206804361065,-122.07635056493352,3
J161,37.415174594868375,-122.07738066749276,3
J162,37.420723257507326,-122.07121828352564,5
J163,37.389136861994814,-122.08091596145852,4
J164,37.38828225902966,-122.08313215376677,3
J165,37.39372868853711,-122.07723520211185,1
